data_point,predicted,difference,hit,
9.4,7.03299,2.36701,0,
11.1,8.921,2.179,0,
13.3,10.9274,2.37264,0,
13.3,12.1458,1.15424,1,
13.3,11.8515,1.44852,0,
12.8,11.683,1.11696,1,
13.9,11.4058,2.49417,0,
14.4,11.8457,2.55435,0,
15,12.9533,2.04671,0,
14.4,12.9652,1.43485,1,
14.4,12.1082,2.2918,0,
13.9,12.1279,1.77206,0,
15,12.6445,2.3555,0,
14.4,12.7596,1.64036,0,
12.2,12.8534,0.653386,1,
12.8,11.7757,1.02433,1,
11.7,10.847,0.852962,1,
11.7,10.2907,1.40929,0,
11.7,10.7277,0.972278,1,
10.6,10.6483,0.0483389,1,
11.1,10.0754,1.02462,1,
9.4,9.92294,0.522942,1,
9.4,9.63847,0.238472,1,
9.4,9.54068,0.140683,1,
9.4,9.40931,0.00931263,1,
10,9.35805,0.641949,1,
10,9.29952,0.700476,1,
10,9.27476,0.725242,1,
11.1,9.24922,1.85078,0,
11.1,10.4104,0.689609,1,
13.3,10.6129,2.68715,0,
13.3,11.608,1.69204,0,
13.3,12.535,0.765012,1,
12.8,11.6291,1.17095,1,
13.3,10.9018,2.39816,0,
13.3,11.6834,1.61657,0,
13.9,12.3231,1.57687,0,
14.4,12.3045,2.09554,0,
14.4,12.6864,1.71356,0,
14.4,12.7086,1.69144,0,
14.4,12.6233,1.77665,0,
12.8,12.6233,0.176652,1,
12.2,11.7737,0.42625,1,
13.3,10.7705,2.52951,0,
12.2,11.709,0.491043,1,
12.2,11.4934,0.706575,1,
11.7,10.5503,1.1497,1,
11.7,10.2794,1.42059,0,
11.1,10.692,0.408019,1,
11.1,10.6922,0.407777,1,
11.7,10.0898,1.61022,0,
11.7,10.9194,0.780644,1,
11.7,10.7943,0.905746,1,
11.1,10.2325,0.86755,1,
10.6,10.027,0.572952,1,
11.1,9.72673,1.37327,0,
11.1,10.4519,0.648052,1,
12.2,10.4711,1.7289,0,
12.2,11.0319,1.16811,1,
